timestamp,latitude,longitude,speed_kmh,route_id,transport_mode,is_peak_hour,source
2026-05-19 18:30:00,45.7536893,21.2256779,0.27,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:01,45.7536517,21.225711,1.66,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:02,45.753732,21.2256786,1.3,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:03,45.7536997,21.2256946,1.59,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:04,45.7537341,21.2257141,1.12,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:05,45.7537766,21.2257201,2.05,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:06,45.7537249,21.2256743,1.24,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:07,45.7537078,21.2257195,1.39,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:08,45.753787,21.2257066,0.83,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:09,45.7537447,21.2257414,0.47,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:10,45.7537677,21.2256663,1.57,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:11,45.7537993,21.225759,1.83,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:12,45.7537778,21.2257105,1.08,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:13,45.7537908,21.2257181,1.71,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:14,45.7538048,21.2257423,1.11,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:15,45.7538004,21.2257365,1.9,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:16,45.753764,21.2256983,0.99,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:17,45.7537616,21.2256982,1.17,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:18,45.7537862,21.2257297,1.43,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:19,45.7537827,21.2257297,1.53,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:20,45.7538226,21.2257436,1.84,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:21,45.7538258,21.2257091,1.81,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:22,45.7538066,21.2256913,1.11,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:23,45.7538238,21.2257078,1.55,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:24,45.7538392,21.2257813,1.42,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:25,45.753824,21.2257341,1.62,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:26,45.7538465,21.2257095,1.61,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:27,45.7538427,21.2257509,1.26,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:28,45.7538192,21.2257577,1.41,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:29,45.7538417,21.2257266,1.67,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:30,45.7538546,21.2257165,1.33,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:31,45.7538683,21.2257646,2.04,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:32,45.7539116,21.2257784,2.45,victoriei_iulius,walking,1,synthetic_gps
2026-05-19 18:30:33,45.7538613,21.2257732,1.16,victoriei_iulius,walking,1,synthetic_gps
