Date,ConnType,Lat,Lon,Download Speed,Download Size,Upload Speed,Upload Size,Latency,Server,InternalIp,ExternalIp,URL
"05/21/2026, 5:20 PM",Nr,45.7442664,21.2417996,33.226576,41911520,12.530168,21849632,26,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632352025
"05/21/2026, 5:19 PM",Nr,45.7442664,21.2417996,24.722376,30197507,7.345704,12120080,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632350477
"05/21/2026, 5:19 PM",Nr,45.7432276,21.2468377,6.87444,10071928,3.9236,3853696,21,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632349027
"05/21/2026, 5:18 PM",Nr,45.7433202,21.2467069,15.665728,21982433,7.495184,10802456,20,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632347568
"05/21/2026, 5:17 PM",Nr,45.740218,21.2497828,284.399016,455522144,4.04316,6298320,17,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632346213
"05/21/2026, 5:17 PM",Nr,45.740218,21.2497828,370.212368,617090105,39.289632,25721360,21,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632344498
"05/21/2026, 5:16 PM",Nr,45.740218,21.2497828,132.362176,193594825,10.934592,17645600,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632343361
"05/21/2026, 5:15 PM",Nr,45.7370081,21.2514837,281.376064,346548586,25.607216,43193080,29,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632341848
"05/21/2026, 5:15 PM",Nr,45.7303633,21.2647714,248.767016,257206928,23.319632,38167304,18,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632340423
"05/21/2026, 5:14 PM",Nr,45.7303633,21.2647714,353.414712,533927856,56.534448,91479815,17,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632339105
"05/21/2026, 5:13 PM",Nr,45.7303633,21.2647714,309.402184,516556296,63.226216,87275743,18,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632337713
"05/21/2026, 5:12 PM",Nr,45.7303633,21.2647714,353.192624,479485646,79.026264,83290711,22,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632334464
"05/21/2026, 5:10 PM",Nr,45.7303633,21.2647714,495.76588,771138922,108.295984,102424797,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632331543
"05/21/2026, 5:09 PM",Nr,45.7303633,21.2647714,377.315864,579153248,74.899864,64021328,17,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632329761
"05/21/2026, 5:09 PM",Nr,45.7303633,21.2647714,290.906936,454215802,62.430016,107512405,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632328616
"05/21/2026, 5:08 PM",Nr,45.7304721,21.2643101,387.299608,364459256,65.44084,111300812,16,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632326281
"05/21/2026, 5:07 PM",Nr,45.7328213,21.2657742,423.178672,603174296,73.274232,64390576,20,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632324490
"05/21/2026, 5:05 PM",Nr,45.7328213,21.2657742,623.983312,689258496,108.618936,96001080,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632319949
"05/21/2026, 5:03 PM",Nr,45.7328213,21.2657742,425.072976,719913874,77.105904,70561792,18,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632317176
"05/21/2026, 5:03 PM",Nr,45.7328213,21.2657742,382.302592,558441568,63.411776,53226600,20,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632315582
"05/21/2026, 5:02 PM",Nr,45.7328213,21.2657742,300.17416,507510976,58.546408,94527199,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632313727
"05/21/2026, 5:01 PM",Nr,45.7328213,21.2657742,264.881912,331122672,57.264096,84862036,19,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632312269
"05/21/2026, 5:00 PM",Nr,45.7328213,21.2657742,346.3352,498942738,65.47856,114857918,16,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632310131
"05/21/2026, 4:57 PM",Nr,45.7375888,21.2666664,346.199312,167851776,53.84168,92175720,18,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11632303763
"05/18/2026, 1:44 PM",Nr,45.7347659,21.2675884,123.682568,136268880,30.128432,19563432,21,Cluj-Napoca,10.209.197.77,46.97.169.245,https://www.speedtest.net/my-result/a/11625737690
